label	country	location
Afghanistan	Afghanistan	Afghanistan
Alaska	UnitedStates	Alaska
Alabama	UnitedStates	Alabama
Arizona	UnitedStates	Arizona
CA	UnitedStates	CA
Colorado	UnitedStates	Colorado
Connecticut	UnitedStates	Connecticut
Idaho	UnitedStates	Idaho
Illinois	UnitedStates	Illinois
Indiana	UnitedStates	Indiana
InteriorAlaska	UnitedStates	InteriorAlaska
Interior-Alaska	UnitedStates	UnitedStates
Iowa	UnitedStates	Iowa
LA	UnitedStates	LA
Louisiana	UnitedStates	Louisiana
Lousiana	UnitedStates Lousiana
Maine	UnitedStates	Maine
Massachusetts	UnitedStates	Massachusetts
Massachussetts	UnitedStates	Massachussetts
Michigan	UnitedStates	Michigan
Mississippi	UnitedStates	Mississippi
NewYork	UnitedStates	NewYork
NJ	UnitedStates	NJ
NorthCarolina	UnitedStates	NorthCarolina
NorthDakota	UnitedStates	NorthDakota
North-Dakota	UnitedStates	NorthDakota
Oklahoma	UnitedStates	Oklahoma
Pennsylvania	UnitedStates	Pennsylvania
SouthCentralAlaska	UnitedStates	SouthCentralAlaska
SouthDakota	UnitedStates	SouthDakota
Utah	UnitedStates	Utah
Vermont	UnitedStates	Vermont
WestVirgina	UnitedStates	WestVirgina
Wisconsin	UnitedStates	Wisconsin
NY	UnitedStates	NewYork
ALB	Canada	Canada
Alberta	Canada	Canada
Canada	Canada	Canada
Manitoba	Canada	Canada
NewBrunswick	Canada	NewBrunswick
NovaScotia	Canada	NovaScotia
Ontario	Canada	Ontario
PrinceEdwardIsland	Canada	PrinceEdwardIsland
QC	Canada	Canada
Quebec	Canada	Quebec
St.Johns	Canada	St.Johns
Chile	Chile	Chile
Czech	CzechRepublic	Czech
CzechRepublic	CzechRepublic	CzechRepublic
Czech-Republic	CzechRepublic	CzechRepublic
Czeckoslovakia	CzechRepublic	Czeckoslovakia
Anhui	China	Anhui
Argentina	Argentina	Argentina
Kansas	UnitedStates	Kansas
Kentucky	UnitedStates	Kentucky
Lexington	UnitedStates	Lexington
MA	UnitedStates	UnitedStates
Mass	UnitedStates	UnitedStates
MD	UnitedStates	UnitedStates
NC	UnitedStates	UnitedStates
Nevada	UnitedStates	Nevada
New-Jersey	UnitedStates	NewJersey
Arkansas	UnitedStates	Arkansas
Attock	Pakistan	Pakistan
Austria	Austria	Austria
Baicheng	China	Baicheng
Bangladesh	Bangladesh	Bangladesh
Baoshan	China	Baoshan
Bulgaria	Bulgaria	Bulgaria
Beijing	China	Beijing
Beit_HaLevi	Israel	BeitHaLevi
Beit-Aran	Israel	Beit-Aran
Bezat	Israel	Bezat
Barbados	Barbados	Barbados
California	UnitedStates	California
Chandigarh	India	Chandigarh
Changzhou	China	Changzhou
Cheongju	Korea	SouthKorea
Chiba	Japan	Japan
China	China	China
Chongqing	China	Chongqing
Dawang	China	Dawang
DE	UnitedStates	Delaware
Dehong	China	Dehong
Delaware	UnitedStates	Delaware
Delaware_Bay	UnitedStates	Delaware
DelawareBay	UnitedStates	Delaware
Dongguan	China	Dongguan
Dongting	China	Dongting
Donating_Lake	China	Donating
Dubai	UnitedArabEmirates	UnitedArabEmirates
Egypt	Egypt	Egypt
Ein_Habsor	Israel	EinHabsor
El_Fayoum	Egypt	Egypt
Emirates	UnitedArabEmirates	UnitedArabEmirates
England	UnitedKingdom	UnitedKingdom
Eshkol	Israel	Eshkol
Faisalabad	Pakistan	Pakistan
Finland	Finland	Finland
France	France	France
Fujian	China	Fujian
Gangxi	China	Gangxi
Gansu	China	Gansu
Georgia	Georgia	Georgia
Germany	Germany	Germany
Givat_Haim	Israel	GivatHaim
G-Karachi	Pakistan	Pakistan
Karachi	Pakistan	Pakistan
Guangdong	China	Guangdong
Guangdongg	China	Guangdong
Guangxi	China	Guangxi
Guangzhou	China	Guangzhou
Guizhou	China	Guizhou
Gujarat	India	Gujarat
Hainan	China	Hainan
Hangzhou	China	Hangzhou
Haryana	India	Haryana
Hebei	China	Hebei
Heibei	China	Hebei
Heilongjiang	China	Heilongjiang
Henan	China	Henan
HK	HongKong	HongKong
Hong-Kong	KongKong	HongKong
Hokkaido	Japan	Japan
Hong_Kong	HongKong	HongKong
Honghe	China	Honghe
HongKong	HongKong	HongKong
Hubei	China	Hubei
Hunan	China	Hunan
Hungary	Hungary	Hungary
Huzhou	China	Huzhou
Iarah	Israel	Iarah
Iceland	Iceland	Iceland
India	India	India
Interior_Alaska	UnitedStates	Alaska
Iran	Iran	Iran
Iraq	Iraq	Iraq
Ireland	Ireland	Ireland
Israel	Israel	Israel
Italy	Italy	Italy
Jiande	China	Jiande
Jiangsu	China	Jiangsu
Jiangxi	China	Jiangxi
Jiawang	China	Jiawang
Jiaxing	China	Jiaxing
JiIangsu	China	JiIangsu
Jilin	China	Jilin
Jinan	China	Jinan
Jordan	Jordan	Jordan
Kobe	Japan	Japan
Japan	Japan	Japan
Kagoshima	Japan	Japan
Shiga	Japan	Japan
Shimane	Japan	Japan
Aktau	Kazakhstan	Kazakhstan
Mexico	Mexico	Mexico
Korea	Korea	Korea
Kurdistan	Iraq	Iraq
Kuwait	Kuwait	Kuwait
Lebanon	Lebanon	Lebanon
Liaoning	China	Liaoning
Libya	Libya	Libya
Lincang	China	Lincang
Long_An	Vietnam	Vietnam
Maale_HaHamisha	Israel	MaaleHaHamisha
Malaysia	Malaysia	Malaysia
Maryland	UnitedStates	Maryland
Middle_East	MiddleEast	MiddleEast
Minnesota	UnitedStates	Minnesota
Mishmar_Hasharon	Israel	MishmarHasharon
Missouri	UnitedStates	Missouri
MN	UnitedStates	Minnesota
Mongolia	Mongolia	Mongolia
Morpeth	UnitedKingdom	UnitedKingdom
Mudanjiang	China	Mudanjiang
Naharia	Israel	Naharia
Nanchang	China	Nanchang
Nanjing	China	Nanjing
Nantong	China	Nantong
Narita	Japan	Japan
Nebraska	UnitedStates	Nebraska
Neimonggu	Mongolia	Mongolia
Nepal	Nepal	Nepal
Netherlands	Netherlands	Netherlands
Netherlands2	Netherlands	Netherlands
Neve_Ilan	Israel	NeveIlan
New_Jersey	UnitedStates	NewJersey
NewJersey	UnitedStates	NewJersey
NewMexico	UnitedStates	NewMexico
Newcastle	UnitedKingdom	UnitedKingdom
Ningbo	China	Ningbo
Ningxia	China	Ningxia
Northern_Ireland	Ireland	Ireland
Norway	Norway	Norway
NZL	NewZealand	NewZealand
NewZealand	NewZealand	NewZealand
North-Carolina	UnitedStates	UnitedStates
Nhatrang	Vietnam	Vietnam
Ohio	UnitedStates	Ohio
Oregon	UnitedStates	Oregon
Orissa	India	Orissa
Osaka	Japan	Japan
Pakistan	Pakistan	Pakistan
Pardes-Hana-Carcur	Israel	Pardes-Hana-Carcur
Pavia	Italy	Italy
Poland	Poland	Poland
Portugal	Portugal	Portugal
PoyangLake	China	PoyangLake
Primorie	Russia	Russia
PT	Portugal	Portugal
Puer	China	Puer
Peru	Peru	Peru
Peru-MM24	Peru	Peru
Punjab	India	Punjab
Qatar	Qatar	Qatar
Qianzhou	China	Qianzhou
Qingdao	China	Qingdao
Quang_Ninh	Vietnam	Vietnam
Republic_of_Georgia	Georgia	Georgia
Republic-of-Georgia	RepublicOfGeorgia	RepublicOfGeorgia
Rizhao	China	Rizhao
Saudi_Arabia	SaudiArabia	SaudiArabia
Shaanxi	China	Shaanxi
Shadmot_Dvorah	Israel	ShadmotDvorah
Shandong	China	Shandong
Shangdong	China	Shandong
Shanghai	China	Shanghai
Shantou	China	Shantou
Shanxi	China	Shanxi
Shaoguan	China	Shaoguan
Shaoxing	China	Shaoxing
Shenyang	China	Shenyang
Shenzhen	China	Shenzhen
Shijiazhuang	China	Shijiazhuang
Shuanggou	China	Shuanggou
Sichuan	China	Sichuan
Sihala	Pakistan	Pakistan
South_Africa	SouthAfrica	SouthAfrica
Stockton	Australia	Australia
Australia	Australia	Australia
Victoria	Australia	Victoria
WesternAustralia	Australia	WesternAustralia
Suzhou	China	Suzhou
Sweden	Sweden	Sweden
Switzerland	Switzerland	Switzerland
Taixing	China	Taixing
Taizhou	China	Taizhou
Talmei_Elazar	Israel	TalmeiElazar
Tel_Adashim	Israel	TelAdashim
Texas	UnitedStates	Texas
