Species	HostType
African_Stonechat	Avian
Anser_fabalis	Avian
Anthropoides_virgo	Avian
avian	Avian
baikal_teal	Avian
bar-tailed_godwit	Avian
Bewick's_swan	Avian
bird	Avian
black_swan	Avian
black-billed_magpie	Avian
black-headed_gull	Avian
brambling	Avian
canine	Other_mammal
Chicken	Avian
Chinese_francolin	Avian
Chinese_Hwamei	Avian
chukkar	Avian
common_coot	Avian
common_murre	Avian
dove	Avian
Duck	Avian
eastern_curlew	Avian
egret	Avian
emperor_goose	Avian
Environment	Avian
equine	Other_mammal
Eurasian_wigeon		Avian
Falcon	Avian
feral_duck	Avian
ferret	Other_mammal
gadwall	Avian
garganey	Avian
Goose	Avian
green-winged_teal	Avian
Guinea fowl	Avian
houbara	Avian
Human	Human
Japanese_Quail	Avian
knot	Avian
Korean_native_chicken	Avian
laughing_gull	Avian
mallard	Avian
mallard_duck	Avian
mandarin_duck	Avian
Mediterranean_gull	Avian
migratory_bird	Avian
mink	Other_mammal
Muscovy_duck	Avian
northern_pintail	Avian
northern_shoveler	Avian
ostrich	Avian
parakeet	Avian
partridge	Avian
Pekin_duck	Avian
pelican	Avian
pheasant	Avian
pigeon	Avian
pink-footed_goose	Avian
poultry	Avian
quail	Avian
rosy-billed_pochard	Avian
ruddy_turnstone	Avian
sanderling	Avian
shorebird	Avian
shovelar	Avian
silkie_chicken	Avian
silky_chicken	Avian
silky_fowl	Avian
sparrow	Avian
spot-billed_duck	Avian
stone_curlew	Avian
Swine	Swine
teal	Avian
thick-billed_murre	Avian
turkey	Avian
turtledove	Avian
watercoot	Avian
white_bellied_bustard	Avian
white-fronted_goose	Avian
wild_bird	Avian
wild_chicken	Avian
Wild_Duck	Avian
wild_waterfowl	Avian
